,vocab
802,agropastoral
803,persist
804,referral
805,mechanism
806,ambulance
807,  
808,religious
809,presence
810,maternal
811,mortality
812,think
813,care
814,effect
815,muslim
816,combine
817,restriction
818,exhaust
819,meet
820,normally
821,rely
822,sexual
823,reproductive
824,malnourished
825,gap
826,delivery
827,potentially
828,address
829,subject
830,ability
831,living
832,isolation
833,develop
834,healthcare
835,bakery
836,tropical
837,cyclone
838,southwestern
839,ocean
840,madagascar
841,strengthen
842,morning
843,antalaha
844,maximum
845,sustained
846,wind
847,speed
848,storm
849,surge
850,strong
851,bay
852,UTC
853,red
854,analanjirofo
855,famine
856,unity
857,UNICEF
858,UNFPA
859,human
860,deploy
861,strategy
862,apply
863,manage
864,SAM
865,complication
866,admission
867,barrier
868,assess
869,origin
870,libya
871,discrimination
872,transportation
873,especially
874,strike
875,doctor
876,percentage
877,application
878,world
879,adolescent
880,somali
881,oromia
882,amhara
883,non
884,NFI
885,countrywide
886,secure
887,protect
888,space
889,dignity
890,idleb
891,airstrike
892,structural
893,casualty
894,basis
895,surgery
896,lot
897,happen
898,returnee
899,watery
900,AWD
901,surveillance
902,inaccessible
903,bakool
904,gedo
905,governorate
906,onset
907,jordan
908,rule
909,struggle
910,set
911,allow
912,renew
913,obtain
914,neighbouring
915,option
916,job
917,close
918,don
919,thing
920,pay
921,anti
922,responsible
923,pro
924,quarter
925,peace
926,democratic
927,policy
928,purpose
929,seek
930,gang
931,hand
932,mass
933,detention
934,procedure
935,right
936,offer
937,outcome
938,IPC
939,phase
940,western
941,extreme
942,lakes
943,rank
944,stress
945,status
946,regular
947,maintenance
948,board
949,carry
950,melkadida
951,bathing
952,store
953,gaza
954,sewage
955,station
956,available
957,operational
958,contract
959,bear
960,instance
961,double
962,friday
963,overcrowding
964,furthermore
965,survivor
966,collapse
967,mile
968,libyan
969,incident
970,submerge
971,inundate
972,fighting
973,rebel
974,occupy
975,island
976,highlight
977,volatile
978,youth
979,secondary
980,travel
981,marriage
982,CAR
983,rd
984,partially
985,heighten
986,sale
987,productive
988,female
989,collect
990,firewood
991,engagement
992,cultural
993,yemen
994,bed
995,hungry
996,night
997,huge
998,acutely
999,weak
1000,network
1001,analysis
1002,unit
1003,tuesday
1004,un
1005,coordinator
1006,somalia
1007,eat
1008,african
1009,union
1010,short
1011,southeastern
1012,coastal
1013,estimated
1014,preliminary
1015,program
1016,institute
1017,cover
1018,cut
1019,minimal
1020,stressed
1021,sahel
1022,lake
1023,able
1024,intake
1025,threshold
1026,children
1027,deny
1028,saudi
1029,prevent
1030,like
1031,dire
1032,GAM
1033,example
1034,base
1035,social
1036,focus
1037,expand
1038,voluntary
1039,limitation
1040,rights
1041,watch
1042,forcibly
1043,remove
1044,cold
1045,blood
1046,event
1047,car
1048,decision
1049,suspend
1050,ago
1051,regions
1052,freedom
1053,violation
1054,arbitrary
1055,document
1056,abuse
1057,victim
1058,reporting
1059,ill
1060,sick
1061,respondent
1062,marry
1063,war
1064,organisation
1065,seven
1066,valley
1067,pipe
1068,section
1069,restore
1070,israel
1071,project
1072,improvement
1073,warehouse
1074,storage
1075,room
1076,hurricane
1077,matthew
1078,proper
1079,jan
1080,leader
1081,financial
1082,de
1083,worry
1084,urban
1085,ing
1086,attention
1087,inadequate
1088,reduce
1089,steal
1090,feed
1091,meal
1092,commissioner
1093,charge
1094,build
1095,iran
1096,advance
1097,unprecedented
1098,OCHA
1099,drive
1100,residential
1101,ukraine
1102,afford
1103,type
1104,torture
1105,evidence
1106,scarcity
1107,survival
1108,detail
1109,hardship
1110,department
1111,bulletin
1112,disability
1113,hostility
1114,respiratory
1115,expose
1116,institution
1117,accommodate
1118,special
1119,rehabilitation
1120,relative
1121,africa
1122,actor
1123,young
1124,present
1125,nord
1126,kivu
1127,hinder
1128,personnel
1129,neighboring
1130,refuge
1131,church
1132,nearby
1133,repeat
1134,commercial
1135,rest
1136,evening
1137,sweep
1138,trader
1139,stage
1140,pm
1141,prone
1142,surface
1143,river
1144,undermine
1145,deliver
1146,formal
1147,planning
1148,training
1149,post
1150,quality
1151,compromise
1152,role
1153,agent
1154,target
1155,hudaydah
1156,development
1157,council
1158,DRC
1159,express
1160,regard
1161,adequate
1162,accommodation
1163,heavily
1164,worst
1165,paddy
1166,vegetable
1167,prolonged
1168,negatively
1169,cultivate
1170,fodder
1171,likelihood
1172,money
1173,goat
1174,immediate
1175,nigeria
1176,recurrent
1177,communicable
1178,appear
1179,yobe
1180,adamawa
1181,lga
1182,cameroon
1183,active
1184,transmission
1185,contain
1186,intervention
